algorithm, node1, node2, time, nodes, memory
BFS, 125730, 125742, 0.001895s, 17, 33.98KB
BFS, 125730, 398772, 0.075107, 71, 890.98KB
BFS, 125730, 398800, 0.077561, 71, 890.39KB
DFS, 125730, 125742, 0.014924, 688, 1.73MB
DFS, 125730, 398772, 0.250718, 551, 19.47MB
DFS, 125730, 398800, 0.186598, 624, 19.47MB
ID, 125730, 125742, 0.027737, 36, 47.18KB
ID, 125730, 398772, 1.326473, 180, 304.27KB
ID, 125730, 398800, 1.654286, 188, 310.68KB
UCS, 125730, 125742, 0.009997, 18, 160.02KB
UCS, 125730, 398772, 0.065331, 79, 1.68MB
UCS, 125730, 398800, 095916, 83, 2.20MB
A*, 125730, 125742, 0.012794, 18, 84.48KB
A*, 125730, 398772, 0.071280, 79, 594.59KB
A*, 125730, 398800, 0.076445, 83, 494.06KB
